Quarter,Region,Trust_type,Trust_subtype,Trust_code,Trust_name,Domain,Sub-domain,Metric_ID,Metric_description,Reporting_date,Units,Value,Median_value,Lower_quartile,Upper_quartile,Rank
Q1 2026/27,North West,Acute trust,Acute - Teaching,R0A,Manchester University NHS Foundation Trust,Access to services,Elective care,OF0001,Percentage of cases where a patient is waiting less than 18 weeks for community treatment,M3 26/27,%,81.25,81.06,65.07,87.8,39.0
Q1 2026/27,North East and Yorkshire,Acute trust,Acute - Large,R0B,South Tyneside and Sunderland NHS Foundation Trust,Access to services,Elective care,OF0001,Percentage of cases where a patient is waiting less than 18 weeks for community treatment,M3 26/27,%,90.68,81.06,65.07,87.8,15.0
Q1 2026/27,South West,Acute trust,Acute - Teaching,R0D,University Hospitals Dorset NHS Foundation Trust,Access to services,Elective care,OF0001,Percentage of cases where a patient is waiting less than 18 weeks for community treatment,M3 26/27,%,6.39,81.06,65.07,87.8,79.0
Q1 2026/27,London,Acute trust,Acute - Teaching,R1H,Barts Health NHS Trust,Access to services,Elective care,OF0001,Percentage of cases where a patient is waiting less than 18 weeks for community treatment,M3 26/27,%,73.33,81.06,65.07,87.8,52.0
Q1 2026/27,London,Acute trust,Acute - Teaching,R1K,London North West University Healthcare NHS Trust,Access to services,Elective care,OF0001,Percentage of cases where a patient is waiting less than 18 weeks for community treatment,M3 26/27,%,62.16,81.06,65.07,87.8,61.0
Q1 2026/27,South East,Acute trust,Acute - Medium,RA2,Royal Surrey NHS Foundation Trust,Access to services,Elective care,OF0001,Percentage of cases where a patient is waiting less than 18 weeks for community treatment,M3 26/27,%,96.44,81.06,65.07,87.8,5.0
Q1 2026/27,South West,Acute trust,Acute - Multi-Service,RA9,Torbay and South Devon NHS Foundation Trust,Access to services,Elective care,OF0001,Percentage of cases where a patient is waiting less than 18 weeks for community treatment,M3 26/27,%,84.63,81.06,65.07,87.8,30.0
Q1 2026/27,North East and Yorkshire,Acute trust,Acute - Teaching,RAE,Bradford Teaching Hospitals NHS Foundation Trust,Access to services,Elective care,OF0001,Percentage of cases where a patient is waiting less than 18 weeks for community treatment,M3 26/27,%,60.88,81.06,65.07,87.8,62.0
Q1 2026/27,London,Acute trust,Acute - Teaching,RAL,Royal Free London NHS Foundation Trust,Access to services,Elective care,OF0001,Percentage of cases where a patient is waiting less than 18 weeks for community treatment,M3 26/27,%,78.74,81.06,65.07,87.8,44.0
Q1 2026/27,London,Acute trust,Acute - Medium,RAX,Kingston and Richmond NHS Foundation Trust,Access to services,Elective care,OF0001,Percentage of cases where a patient is waiting less than 18 weeks for community treatment,M3 26/27,%,58.07,81.06,65.07,87.8,64.0
