Quarter,Region,Trust_type,Trust_subtype,Trust_code,Trust_name,Domain,Sub-domain,Metric_ID,Metric_description,Reporting_date,Units,Value,Median_value,Lower_quartile,Upper_quartile,Rank
Q1 2026/27,London,Ambulance trust,Ambulance,RRU,London Ambulance Service NHS Trust,Access to services,Urgent care,OF0004,Average response time to 999 calls,2026/27 to June,mins,5.0,4.0,2.0,5.75,7.0
Q1 2026/27,North East and Yorkshire,Ambulance trust,Ambulance,RX6,North East Ambulance Service NHS Foundation Trust,Access to services,Urgent care,OF0004,Average response time to 999 calls,2026/27 to June,mins,1.0,4.0,2.0,5.75,1.0
Q1 2026/27,North West,Ambulance trust,Ambulance,RX7,North West Ambulance Service NHS Trust,Access to services,Urgent care,OF0004,Average response time to 999 calls,2026/27 to June,mins,4.0,4.0,2.0,5.75,5.0
Q1 2026/27,North East and Yorkshire,Ambulance trust,Ambulance,RX8,Yorkshire Ambulance Service NHS Trust,Access to services,Urgent care,OF0004,Average response time to 999 calls,2026/27 to June,mins,12.0,4.0,2.0,5.75,9.0
Q1 2026/27,Midlands,Ambulance trust,Ambulance,RX9,East Midlands Ambulance Service NHS Trust,Access to services,Urgent care,OF0004,Average response time to 999 calls,2026/27 to June,mins,4.0,4.0,2.0,5.75,5.0
Q1 2026/27,Midlands,Ambulance trust,Ambulance,RYA,West Midlands Ambulance Service University NHS Foundation Trust,Access to services,Urgent care,OF0004,Average response time to 999 calls,2026/27 to June,mins,2.0,4.0,2.0,5.75,2.0
Q1 2026/27,East,Ambulance trust,Ambulance,RYC,East of England Ambulance Service NHS Trust,Access to services,Urgent care,OF0004,Average response time to 999 calls,2026/27 to June,mins,2.0,4.0,2.0,5.75,2.0
Q1 2026/27,South East,Ambulance trust,Ambulance,RYD,South East Coast Ambulance Service NHS Foundation Trust,Access to services,Urgent care,OF0004,Average response time to 999 calls,2026/27 to June,mins,6.0,4.0,2.0,5.75,8.0
Q1 2026/27,South East,Ambulance trust,Ambulance,RYE,South Central Ambulance Service NHS Foundation Trust,Access to services,Urgent care,OF0004,Average response time to 999 calls,2026/27 to June,mins,12.0,4.0,2.0,5.75,9.0
Q1 2026/27,South West,Ambulance trust,Ambulance,RYF,South Western Ambulance Service NHS Foundation Trust,Access to services,Urgent care,OF0004,Average response time to 999 calls,2026/27 to June,mins,2.0,4.0,2.0,5.75,2.0
Q1 2026/27,London,Ambulance trust,Ambulance,RRU,London Ambulance Service NHS Trust,Effectiveness of care and population health,Outcomes,OF0015,"Percentage of all ambulance incidents with an outcome of ""see and treat"" or ""hear and treat""",2026/27 YTD to June,%,50.83,48.36,44.63,50.5,3.0
Q1 2026/27,North East and Yorkshire,Ambulance trust,Ambulance,RX6,North East Ambulance Service NHS Foundation Trust,Effectiveness of care and population health,Outcomes,OF0015,"Percentage of all ambulance incidents with an outcome of ""see and treat"" or ""hear and treat""",2026/27 YTD to June,%,41.86,48.36,44.63,50.5,9.0
Q1 2026/27,North West,Ambulance trust,Ambulance,RX7,North West Ambulance Service NHS Trust,Effectiveness of care and population health,Outcomes,OF0015,"Percentage of all ambulance incidents with an outcome of ""see and treat"" or ""hear and treat""",2026/27 YTD to June,%,43.8,48.36,44.63,50.5,8.0
Q1 2026/27,North East and Yorkshire,Ambulance trust,Ambulance,RX8,Yorkshire Ambulance Service NHS Trust,Effectiveness of care and population health,Outcomes,OF0015,"Percentage of all ambulance incidents with an outcome of ""see and treat"" or ""hear and treat""",2026/27 YTD to June,%,40.83,48.36,44.63,50.5,10.0
Q1 2026/27,Midlands,Ambulance trust,Ambulance,RX9,East Midlands Ambulance Service NHS Trust,Effectiveness of care and population health,Outcomes,OF0015,"Percentage of all ambulance incidents with an outcome of ""see and treat"" or ""hear and treat""",2026/27 YTD to June,%,47.42,48.36,44.63,50.5,6.0
Q1 2026/27,Midlands,Ambulance trust,Ambulance,RYA,West Midlands Ambulance Service University NHS Foundation Trust,Effectiveness of care and population health,Outcomes,OF0015,"Percentage of all ambulance incidents with an outcome of ""see and treat"" or ""hear and treat""",2026/27 YTD to June,%,49.3,48.36,44.63,50.5,5.0
Q1 2026/27,East,Ambulance trust,Ambulance,RYC,East of England Ambulance Service NHS Trust,Effectiveness of care and population health,Outcomes,OF0015,"Percentage of all ambulance incidents with an outcome of ""see and treat"" or ""hear and treat""",2026/27 YTD to June,%,51.18,48.36,44.63,50.5,2.0
