Quarter,Region,Trust_type,Trust_subtype,Trust_code,Trust_name,Domain,Sub-domain,Metric_ID,Metric_description,Reporting_date,Units,Value,Median_value,Lower_quartile,Upper_quartile,Rank
Q1 2026/27,Midlands,Mental health and community trust,Community,R1A,Herefordshire and Worcestershire Health and Care NHS Trust,Access to services,Elective care,OF0001,Percentage of cases where a patient is waiting less than 18 weeks for community treatment,M3 26/27,%,79.05,85.15,70.25,92.61,27.0
Q1 2026/27,Midlands,Mental health and community trust,Community,R1D,Shropshire Community Health NHS Trust,Access to services,Elective care,OF0001,Percentage of cases where a patient is waiting less than 18 weeks for community treatment,M3 26/27,%,84.62,85.15,70.25,92.61,22.0
Q1 2026/27,East,Mental health and community trust,Mental Health and Learning Disability,R1L,Essex Partnership University NHS Foundation Trust,Access to services,Elective care,OF0001,Percentage of cases where a patient is waiting less than 18 weeks for community treatment,M3 26/27,%,91.53,85.15,70.25,92.61,12.0
Q1 2026/27,London,Mental health and community trust,Mental Health and Learning Disability,RAT,North East London NHS Foundation Trust,Access to services,Elective care,OF0001,Percentage of cases where a patient is waiting less than 18 weeks for community treatment,M3 26/27,%,70.25,85.15,70.25,92.61,31.0
Q1 2026/27,South East,Mental health and community trust,Community,RDR,Sussex Community NHS Foundation Trust,Access to services,Elective care,OF0001,Percentage of cases where a patient is waiting less than 18 weeks for community treatment,M3 26/27,%,56.14,85.15,70.25,92.61,38.0
Q1 2026/27,South West,Mental health and community trust,Mental Health and Learning Disability,RDY,Dorset Healthcare University NHS Foundation Trust,Access to services,Elective care,OF0001,Percentage of cases where a patient is waiting less than 18 weeks for community treatment,M3 26/27,%,86.11,85.15,70.25,92.61,19.0
Q1 2026/27,Midlands,Mental health and community trust,Mental Health and Learning Disability,RHA,Nottinghamshire Healthcare NHS Foundation Trust,Access to services,Elective care,OF0001,Percentage of cases where a patient is waiting less than 18 weeks for community treatment,M3 26/27,%,87.32,85.15,70.25,92.61,16.0
Q1 2026/27,South West,Mental health and community trust,Mental Health and Learning Disability,RJ8,Cornwall Partnership NHS Foundation Trust,Access to services,Elective care,OF0001,Percentage of cases where a patient is waiting less than 18 weeks for community treatment,M3 26/27,%,66.96,85.15,70.25,92.61,32.0
Q1 2026/27,London,Mental health and community trust,Mental Health and Learning Disability,RKL,West London NHS Trust,Access to services,Elective care,OF0001,Percentage of cases where a patient is waiting less than 18 weeks for community treatment,M3 26/27,%,94.03,85.15,70.25,92.61,8.0
Q1 2026/27,South East,Mental health and community trust,Mental Health and Learning Disability,RNU,Oxford Health NHS Foundation Trust,Access to services,Elective care,OF0001,Percentage of cases where a patient is waiting less than 18 weeks for community treatment,M3 26/27,%,59.14,85.15,70.25,92.61,35.0
Q1 2026/27,Midlands,Mental health and community trust,Mental Health and Learning Disability,RP1,Northamptonshire Healthcare NHS Foundation Trust,Access to services,Elective care,OF0001,Percentage of cases where a patient is waiting less than 18 weeks for community treatment,M3 26/27,%,66.16,85.15,70.25,92.61,33.0
Q1 2026/27,London,Mental health and community trust,Mental Health and Learning Disability,RPG,Oxleas NHS Foundation Trust,Access to services,Elective care,OF0001,Percentage of cases where a patient is waiting less than 18 weeks for community treatment,M3 26/27,%,64.41,85.15,70.25,92.61,34.0
Q1 2026/27,Midlands,Mental health and community trust,Mental Health and Learning Disability,RRE,Midlands Partnership University NHS Foundation Trust,Access to services,Elective care,OF0001,Percentage of cases where a patient is waiting less than 18 weeks for community treatment,M3 26/27,%,87.58,85.15,70.25,92.61,15.0
Q1 2026/27,East,Mental health and community trust,Mental Health and Learning Disability,RT1,Cambridgeshire and Peterborough NHS Foundation Trust,Access to services,Elective care,OF0001,Percentage of cases where a patient is waiting less than 18 weeks for community treatment,M3 26/27,%,80.43,85.15,70.25,92.61,25.0
Q1 2026/27,Midlands,Mental health and community trust,Mental Health and Learning Disability,RT5,Leicestershire Partnership NHS Trust,Access to services,Elective care,OF0001,Percentage of cases where a patient is waiting less than 18 weeks for community treatment,M3 26/27,%,55.21,85.15,70.25,92.61,39.0
Q1 2026/27,South West,Mental health and community trust,Mental Health and Learning Disability,RTQ,Gloucestershire Health and Care NHS Foundation Trust,Access to services,Elective care,OF0001,Percentage of cases where a patient is waiting less than 18 weeks for community treatment,M3 26/27,%,77.54,85.15,70.25,92.61,28.0
Q1 2026/27,London,Mental health and community trust,Mental Health and Learning Disability,RV3,Central and North West London NHS Foundation Trust,Access to services,Elective care,OF0001,Percentage of cases where a patient is waiting less than 18 weeks for community treatment,M3 26/27,%,92.61,85.15,70.25,92.61,11.0
Q1 2026/27,North East and Yorkshire,Mental health and community trust,Mental Health and Learning Disability,RV9,Humber Teaching NHS Foundation Trust,Access to services,Elective care,OF0001,Percentage of cases where a patient is waiting less than 18 weeks for community treatment,M3 26/27,%,79.06,85.15,70.25,92.61,26.0
Q1 2026/27,South East,Mental health and community trust,Mental Health and Learning Disability,RW1,Hampshire and Isle of Wight Healthcare NHS Foundation Trust,Access to services,Elective care,OF0001,Percentage of cases where a patient is waiting less than 18 weeks for community treatment,M3 26/27,%,86.27,85.15,70.25,92.61,18.0
Q1 2026/27,North West,Mental health and community trust,Mental Health and Learning Disability,RW4,Mersey Care NHS Foundation Trust,Access to services,Elective care,OF0001,Percentage of cases where a patient is waiting less than 18 weeks for community treatment,M3 26/27,%,94.51,85.15,70.25,92.61,6.0
Q1 2026/27,North West,Mental health and community trust,Mental Health and Learning Disability,RW5,Lancashire & South Cumbria NHS Foundation Trust,Access to services,Elective care,OF0001,Percentage of cases where a patient is waiting less than 18 weeks for community treatment,M3 26/27,%,93.46,85.15,70.25,92.61,10.0
Q1 2026/27,London,Mental health and community trust,Mental Health and Learning Disability,RWK,East London NHS Foundation Trust,Access to services,Elective care,OF0001,Percentage of cases where a patient is waiting less than 18 weeks for community treatment,M3 26/27,%,87.24,85.15,70.25,92.61,17.0
Q1 2026/27,South West,Mental health and community trust,Mental Health and Learning Disability,RWV,Devon Partnership NHS Trust,Access to services,Elective care,OF0001,Percentage of cases where a patient is waiting less than 18 weeks for community treatment,M3 26/27,%,26.65,85.15,70.25,92.61,40.0
Q1 2026/27,South East,Mental health and community trust,Mental Health and Learning Disability,RWX,Berkshire Healthcare NHS Foundation Trust,Access to services,Elective care,OF0001,Percentage of cases where a patient is waiting less than 18 weeks for community treatment,M3 26/27,%,84.26,85.15,70.25,92.61,23.0
